Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Klc3	151.299605665253	1.0588011702203	0.324577339895789	3.2620920812286	0.00110593213379356	0.0069492510300716
Mir343	13.4503801212424	-0.641111978937102	1.0250170474113	-0.625464698910366	0.531666110305534	NA
Ercc2	4771.97302982985	0.0142086810700181	0.100384762769484	0.141542208976932	0.887441617722744	0.940504336589059
Ppp1r13l	7637.99346497611	-0.217899662204491	0.086177772818431	-2.52849029486509	0.0114554253509723	0.0447311820633105
Cd3eap	213.538557886733	0.583831868585194	0.280511625683051	2.08131077335406	0.0374054696957567	0.110655627225347
Ercc1	1034.80829986492	0.19911878582153	0.145298768095513	1.37040931889139	0.170559164730253	0.33204286028175
Fosb	133.860360844042	0.327390882191028	0.339524145194945	0.964263917086219	0.334913626355605	0.524609772229653
Gm26802	88.448614254173	-0.242408937801891	0.417352613363727	-0.580825254329076	0.561358232610471	0.725611931053058
Gm51441	28.1375938644665	0.389035200092749	0.716410845021621	0.543033655612804	0.58710663019695	NA
Rtn2	31.8678359339508	0.162957319757301	0.672668564478353	0.24225499504897	0.80858258395159	NA
Ppm1n	4.13151073882986	-2.18939501462375	2.07868031225694	-1.05326201519011	0.292220922827797	NA
Vasp	243.086621470084	0.967012748641888	0.25827935627494	3.7440574523211	0.000181072220612261	0.00153900798501673
Gm38499	494.411008439544	-0.0708915071910021	0.186710007449163	-0.379687774423683	0.704177196365332	0.827365511073059
Gm25134	6.72105275697569	0.67947629335785	1.49136247337957	0.455607744922059	0.648672072792522	NA
Opa3	293.303947327418	0.0272394636344888	0.233353730943562	0.116730354060963	0.907073735640552	0.952283276061816
Gpr4	9.15277749146427	-0.140824097306525	1.23884931933038	-0.113673305630617	0.909496774350023	NA
Eml2	77.7027128487088	-0.410318156464324	0.439321594544913	-0.933981305629575	0.350313536279285	0.541068749870683
Gipr	30.4702013467335	-0.106423846450667	0.687361407036707	-0.154829534159435	0.876955707071822	NA
Snrpd2	3935.21271881565	0.305660453730247	0.100501187759189	3.04136160522441	0.00235510803986011	0.0128135068471794
Qpctl	747.93818806669	0.0947197111546954	0.159794365766968	0.592760018165016	0.553341768593088	0.719022732653727
Fbxo46	2135.99527622163	-0.154248746450829	0.117957539205937	-1.30766331248682	0.190987532216262	0.358678484717812
Bhmg1	1482.86970544898	1.38132922429641	0.318219999336032	4.3407995323316	1.41965199534067e-05	0.00017787260431277
Six5	39.5754089924972	1.61833608581821	0.650171706291969	2.48909029746593	0.0128070433554195	NA
Mir3100	0.274943288803322	-1.65924762621289	4.96621810499999	-0.334106877936424	0.738298910168873	NA
Dmpk	403.714938892139	-0.0584085306476189	0.203767016961552	-0.286643694934396	0.77438515395964	0.873101978760127
Dmwd	1367.67978480829	0.0762900987172981	0.126755261555479	0.601869285591011	0.547261150684191	0.714138408818486
Rsph6a	14971.5966106068	0.0698122981823902	0.0827184073387588	0.843975366891267	0.398683170787611	0.590127426848674
Sympk	10811.4777328781	-0.0945269986267278	0.0854253123761265	-1.10654554250298	0.268490463237312	0.451857386833152
