Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
Gm19232	0	0	0	0
A330008L17Rik	4	2	0	0
Gm15681	2	5	1	2
Gm24693	1	1	1	2
Cdh8	0	0	0	0
Gm15679	2	0	0	1
Gm29817	0	0	0	0
Gm23494	1	1	0	0
Gm7192	1	0	0	0
Gm17997	0	0	0	0
Gm39231	30	29	26	33
Gm7191	135	103	66	95
Gm5913	1435	1272	724	817
Gm25160	0	0	0	0
Gm5131	15	22	19	25
Gm32122	0	1	1	1
Gm22780	0	0	0	0
Gm32005	0	0	0	1
Gm31892	0	0	0	0
Gm8637	0	0	2	1
Gm51586	1	0	0	0
Got2	205	188	87	112
Slc38a7	91	78	36	29
Gm31805	12	4	2	6
Sap18b	14	12	5	6
4930513N10Rik	4448	4193	3013	3323
Gm26265	1	1	0	0
Mir7073	0	0	0	0
Gm26493	15	9	18	11
Cnot1	38612	34086	42137	51412
Setd6	141	112	83	101
Gm51585	1	1	2	1
Ndrg4	248	265	116	143
Gm6013	16	8	10	6
Gm42037	0	0	1	3
Gm39230	7	4	1	5
Gins3	75	67	64	58
Gm31518	3688	3340	1646	1780
Gm5912	785	714	748	959
Prss54	17680	14264	8512	9970
Ccdc113	6050	4660	3720	4560
4933406B17Rik	445	498	408	455
Csnk2a2	5670	4818	3147	3894
Cfap20	12347	11932	6284	6759
Mmp15	19	12	7	9
Usb1	5565	5582	2510	2710
Zfp319	1090	1140	716	732
Tepp	5316	5664	2892	3393
Gm5359	30	25	25	43
Cngb1	318	278	403	452
Gm31277	0	0	0	0
Gm31036	61	52	27	24
Gm31224	234	243	121	149
Kifc3	15585	14418	8025	9141
Katnb1	62875	63464	31046	35505
Drc7	16054	15235	8877	10169
Adgrg3	10	7	23	21
Gm51544	2	0	1	3
Adgrg1	1584	1632	890	1122
Gm30968	1	0	0	0
Adgrg5	13	7	13	17
Ccdc102a	31	28	4	9
Dok4	51	58	14	20
Polr2c	2487	2554	1467	1654
Coq9	4034	4022	1889	2192
Gm7418	0	0	1	0
Ciapin1	32406	32141	12034	13193
Ccl17	34	25	25	24
Gm51543	3	5	1	1
Cx3cl1	185	182	29	21
Gnb1-ps3	0	0	0	0
Ccl22	145	114	82	104
n-TLcag4	1	0	0	0
n-TLcag5	0	0	1	0
Pllp	16	13	9	4
Arl2bp	31922	31772	16943	21613
Gm18002	20	20	49	73
Rspry1	5711	5240	4038	4598
LOC115486880	168	160	88	84
Psme3ip1	3650	3528	1996	2177
Gm38555	97	107	81	84
Cpne2	56	50	23	33
Mir7072	0	0	0	0
Gm51584	8	4	0	1
Nlrc5	602	538	291	300
9330175E14Rik	0	0	0	0
Ap3s1-ps2	4	3	0	2
Herpud1	12886	13893	7521	8536
Gm15889	5	2	1	1
Slc12a3	73	75	140	146
Mir138-2	0	0	0	0
Rpl10-ps5	0	0	0	1
Nup93	783	722	710	889
Gm39228	0	0	0	0
Mt1	20014	19650	11485	12297
Mt2	7604	6139	3519	4611
Gm39227	43	40	27	26
Mt3	7	4	1	2
Mt4	2	1	0	1
Gm39226	31	28	27	18
Bbs2	2850	2516	2272	2773
Ogfod1	2336	2182	1878	2036
Nudt21	8604	7847	4072	4966
Amfr	13918	13102	5506	6380
4930488L21Rik	11684	10686	5428	6213
Gnao1	2431	2111	1398	1545
Gm39224	0	1	0	0
Gm30606	3	2	14	23
Gm26843	223	205	501	574
Ces5a	445	447	331	382
Gm30132	373	328	326	350
Ces1h	154	158	128	143
Ces1g	27	32	36	48
Ces1f	0	0	0	0
Ces1e	3	1	0	0
Ces1d	45	30	26	22
Gm45910	0	0	0	0
Ces1c	1	0	0	0
Ces1b	0	0	1	0
Ces1a	329	310	226	276
Slc6a2	1	2	2	3
Gm2947	0	0	0	0
Capns2	68	45	39	53
Lpcat2	39	35	20	20
Gm45472	0	2	4	0
Mmp2	39	20	8	4
Gapdh-ps16	0	0	0	0
Irx6	4	2	0	2
Irx5	450	475	332	315
Crnde	2692	2296	1696	1857
Gm24254	0	0	0	0
Gm28516	1	0	0	3
Gm36843	1	0	1	0
Gm36670	0	0	0	0
LOC115486949	15	9	9	7
Gm39223	4	1	1	2
Irx3os	10	19	8	17
Irx3	5	6	3	1
Gm39222	8	7	3	9
Gm36380	17	11	14	26
Gm36325	0	0	0	0
Gm2875	1	0	0	0
Gm9619	1	1	0	1
4831440D22Rik	32	17	45	58
Fto	14704	13043	8721	10276
Gm36163	147	91	54	72
Gm18603	16	19	27	28
Rpgrip1l	2736	2290	4194	5095
Gm36243	70	62	36	50
Gm8489	4	11	1	2
Aktip	2178	2093	1211	1371
Rbl2	5796	5401	4914	6170
Gm22428	0	0	0	0
Gm39221	2	11	10	16
Chd9	251	244	355	438
Gm19935	4342	4278	2191	2440
Gm35963	10	6	14	13
Gm35850	33	32	38	47
Gm17996	1	1	5	1
Gm39220	0	0	0	0
Gm35797	144	146	219	246
Gm46048	4	3	5	0
Gm39219	19	29	35	42
Tox3	92	72	120	133
Gm24212	0	0	0	0
Gm26331	0	2	0	0
Gm35593	177	163	86	101
Gm35542	0	0	0	0
Gm5356	2	0	0	0
Gm6625	0	0	0	0
Gm35305	8	16	15	10
Gm35358	3	6	8	5
Gm3134	0	1	1	0
Sall1	21	31	17	22
Mir8110	0	0	0	0
Gm42034	1	0	1	0
Rps6-ps2	0	0	0	0
Gm17910	1	0	1	1
Gm17995	0	0	0	0
Cyld	615	533	416	441
Nod2	34	19	16	14
Snx20	6	8	2	0
Nkd1	48	47	12	16
Gm35162	3	0	0	4
Gm35076	0	2	0	0
Gm34846	1	1	2	0
Gm39218	0	0	1	0
Gm34751	0	1	1	0
Brd7	547	526	542	692
Adcy7	525	521	147	201
Tent4b	13738	11300	7591	8783
Mir7071	0	0	0	0
Heatr3	185	163	97	111
Cnep1r1	793	682	583	714
Gm18678	2	0	7	5
Gm2716	485	400	336	367
Gm39217	11	9	12	8
Gm42032	0	0	0	0
Gm34412	0	0	0	0
Zfp423	3394	3121	1996	2310
1700096P03Rik	180	134	81	107
4933402J07Rik	12373	9712	8528	10644
Gm2694	197	127	125	130
Cbln1	206	155	99	108
Gm19872	248	211	85	117
4930535O05Rik	326	298	130	177
Gm18975	0	0	0	0
Gm10637	4	3	1	0
Gm34025	1	0	1	1
Gm27246	259	245	120	183
Gm18602	0	0	0	0
Rps13-ps1	0	1	1	0
Gm24781	0	0	0	0
Gm33391	1	5	0	3
Fth-ps3	0	0	0	0
Gm33877	5	5	3	3
N4bp1	267	279	159	239
Gm39215	0	0	0	0
Gm10638	17913	15316	6311	5923
Siah1a	993	945	787	861
Gm22305	0	0	1	0
Lonp2	2286	2072	1340	1704
Abcc12	13868	12558	10455	12982
Gm24490	0	0	0	0
Gm33687	0	0	0	0
Gm2641	0	0	0	0
Gm23904	0	0	0	0
Gm33577	12	30	36	38
Gm33632	2	2	4	1
Gm21030	0	0	0	0
Gm18474	1	0	0	0
Gm19171	1	0	0	0
Gm16167	177	161	132	141
Phkb	1271	1093	901	1073
Atp5k-ps1	0	0	0	0
Gm39214	72	65	27	33
Itfg1	3176	2652	2621	3271
Mir8109	0	0	0	0
Neto2	31	48	36	27
Gm51583	0	0	0	1
Dnaja2	7082	6056	4733	5324
Gpt2	233	215	109	100
4921524J17Rik	152	148	182	174
Mylk3	13	23	14	15
Gm22336	0	0	0	0
Orc6	638	555	361	395
Vps35	6493	5965	5922	7367
Olfr371	28	28	156	187
Gm18137	23	21	69	126
Gm33296	262	250	476	617
Cks1brt	1	0	5	2
Gm42031	0	0	7	8
Zfp791	9	4	10	12
Man2b1	1531	1724	852	1053
Wdr83os	122	131	69	75
Wdr83	772	680	332	346
Dhps	590	603	342	392
Gm5741	0	3	0	4
Mir7070	0	0	0	0
Fbxw9	13374	13341	5573	6101
A230103J11Rik	383	297	158	120
LOC115487056	3	0	0	1
Tnpo2	6648	6443	3296	3798
Trir	7641	6811	3242	3690
Get3	14566	13873	5751	6706
Best2	5	5	12	14
Hook2	14305	13404	7186	7774
Junb	852	794	337	372
Prdx2	1047	973	335	404
Rnaseh2a	149643	137071	55564	60687
Rtbdn	4	1	6	12
Gm38426	2	4	1	1
Mast1	174	199	200	219
Dnase2a	18	10	9	10
Klf1	46	41	10	22
Gm39213	52	43	47	41
Gcdh	72	88	44	47
Syce2	4405	4132	2197	2749
Mir7069	0	0	0	0
Farsa	3785	3489	1601	1888
Gm5911	1	1	0	1
1700122E12Rik	611	654	355	422
Calr	34027	29247	16253	20087
Rad23a	8640	8321	5251	6188
Gadd45gip1	1509	1336	443	455
Dand5	5383	4672	1739	1836
G430095P16Rik	10	12	0	2
Nfix	387	343	174	185
Lyl1	23	18	12	14
Trmt1	18632	18756	8247	9272
Nacc1	1379	1229	662	759
Ier2	341	324	96	95
Gm39211	1	0	2	2
Gm39212	39	25	29	27
Gm16183	8	11	11	4
Gm32854	796	678	459	438
Gm23626	0	0	0	0
Cacna1a	4566	4278	3285	3859
Gm18677	0	0	0	0
Ccdc130	5270	4660	3028	3660
Mri1	529	484	169	205
D8Ertd738e	2167	2246	1281	1416
Zswim4	8482	8573	4578	5044
Mir3074-2	0	1	2	3
Mir24-2	5	3	0	1
Mir27a	0	0	0	0
Mir23a	1	0	2	2
Mir181c	2	0	2	0
Mir181d	0	0	0	0
Nanos3	136	138	61	82
4930432K21Rik	16240	15518	8213	9348
Cc2d1a	9170	8818	4265	4864
Podnl1	15	16	36	35
Gm39210	73	72	95	120
Dcaf15	18353	18273	8625	10149
Mir709	19	11	17	25
Rfx1	43468	44029	26369	28101
Rln3	2	1	5	3
Il27ra	1	3	2	1
Palm3	65	57	31	37
Mir1199	0	0	0	0
Misp3	1696	1520	750	743
Mir8111	0	3	1	0
1700067K01Rik	5797	5940	2726	2770
Samd1	115	88	31	35
Prkaca	20869	20264	11365	12911
Asf1b	1936	1848	905	1034
Gm10644	2435	2229	1904	2113
Adgrl1	1702	1676	973	992
Gm5355	0	0	0	0
Gm26721	0	0	1	2
Gm51542	1	4	1	8
Gm42030	35	22	41	56
Gm46046	0	0	0	2
Mir1668	0	0	0	0
Adgre5	130	189	76	93
Ddx39a	4181	3931	1910	2216
Ptger1	124	103	110	145
Pkn1	693	615	248	261
Gipc1	929	906	457	503
Dnajb1	45919	41803	19757	23393
Gm18001	1	1	1	1
Gm42029	61	46	40	69
Gm51541	708	733	329	384
D830024N08Rik	77	79	37	29
Tecr	1720	1580	727	879
Ndufb7	2052	1786	811	1005
Gm18000	0	0	1	0
Olfr370	0	0	0	0
Gm33242	319	295	302	364
Gm5910	12	11	34	57
Scoc	136	105	50	55
Clgn	48815	40088	30691	36632
Gm32377	345	273	230	315
Gm15660	0	3	14	17
Mgat4d	1080	841	1088	1393
Gm32327	734	597	435	510
Elmod2	327	260	381	424
Ucp1	2	0	5	3
Gm17999	8	15	19	23
Gm42027	0	0	0	1
Tbc1d9	9299	8641	5773	6777
Gm18212	0	0	0	0
Gm46045	7	2	9	9
Rnf150	43	29	43	55
Gm31545	70	74	108	110
Zfp330	3923	3105	2423	2857
Gm9655	0	0	0	0
Gm8167	0	0	0	0
Gm25138	0	0	1	2
Il15	24	14	17	24
Gm51610	2	3	3	2
Gm38590	63	60	44	44
Gm9520	0	0	0	1
Gm25267	0	0	0	0
Gm17072	5	8	6	11
Gm17169	0	0	1	0
Inpp4b	368	291	395	523
Gm51582	0	0	1	0
Gm5354	0	0	0	0
Gm4899	0	5	0	1
Gm9725	103	92	103	125
Usp38	2263	2240	1704	1886
Gm31223	80	69	41	68
Gm4891	0	0	1	4
Gm51580	0	0	0	0
Gm7997	5	5	9	14
Gab1	1022	977	768	886
Smarca5	4096	3254	3762	4568
Frem3	143	120	271	348
Gm46044	5	5	0	1
Gm39209	274	243	226	291
4930505O20Rik	136	138	124	131
Gypa	3	0	1	1
Gm30605	10	9	21	22
Gm39208	12	4	6	6
Gm30552	0	0	0	1
Gm5909	4	2	1	2
Gm39206	12	8	5	7
Hhip	37	39	14	11
Gm30494	5	8	21	26
Gm45434	1	0	2	0
Anapc10	1751	1581	833	1017
Abce1	2659	2073	2234	2695
Tpd52-ps	1	1	15	11
Otud4	13247	11223	10103	12119
Gm51579	1125	978	702	656
Gm8079	3	0	9	5
Gm8077	0	0	0	0
LOC115487054	0	0	3	3
Gm39288	0	1	0	0
Gm39205	0	0	0	1
Gm51578	0	0	0	0
Smad1	1119	1047	593	804
Gm4890	738	703	299	303
Mmaa	136	116	103	120
1700011L22Rik	10787	9573	6198	7729
Gm30271	3	4	5	14
Zfp827	204	190	123	127
Gm22044	0	0	0	0
Gm39204	18	22	8	13
Gm8056	1	0	0	0
Gm8054	3	0	0	0
Lsm6	150	128	51	70
Gm45446	3	4	13	15
Gm47209	8	3	11	22
Gm39203	11	1	10	10
Gm2253	0	0	7	1
Slc10a7	1617	1523	720	841
Rbmxl1	321	283	226	267
Gm2225	7	5	4	6
Pou4f2	2	1	3	2
Ttc29	11658	10719	9317	11846
Gm39202	142	124	119	117
Gm45574	9	1	6	10
Gm6360	2	0	0	0
Gm29895	683	625	716	808
Gm23981	0	0	0	0
Gm29845	6	3	8	16
Gm39201	12	11	5	12
LOC108167319	2	2	4	4
LOC105243223	338	294	201	235
Ednra	132	96	34	39
4933431K23Rik	426	399	283	328
1700092C02Rik	82	62	110	112
Gm39200	263	206	246	259
Tmem184c	1390	1137	1378	1635
Prmt9	107	103	45	60
0610038B21Rik	1	0	1	0
Arhgap10	1684	1487	1271	1462
Gm23260	0	0	0	3
Gm24838	0	0	0	0
Nr3c2	282	220	181	172
Gm5353	0	0	1	2
LOC115486409	224	186	158	215
Gm10649	1	1	2	0
Gm39199	98	90	115	144
Gm7990	0	0	4	13
Gm7069	0	0	1	2
Gm22509	0	0	0	0
Gm22544	0	0	0	0
Gm7901	91	97	59	64
LOC115486994	9	7	7	11
Iqcm	3189	2546	3095	4066
Gm10358	1	0	0	0
Gm19885	0	0	0	0
Gm7984	39	14	11	12
Umpk-ps	0	0	0	0
Gm9644	0	0	0	0
Rasd2	189	168	82	98
Mcm5	1802	1844	773	940
Hmox1	53	71	34	31
Gm2059	21	19	11	13
Tom1	8175	8048	4178	4809
Hmgxb4	63	54	44	52
Isx	1	1	0	0
Gm7948	0	0	0	0
Crry-ps	0	1	0	1
Gm7943	0	0	0	0
Mir28b	0	0	0	0
Gm39198	11	5	33	37
F2rl3	5	1	11	7
Sin3b	17811	16405	6944	7678
Nwd1	749	775	560	575
Gm51538	2	5	1	3
Tmem38a	66	58	26	29
Smim7	348	352	165	226
Gm35857	1	0	0	0
Gm18646	4	0	4	4
Med26	28289	27037	14146	16658
Slc35e1	335	333	169	213
Mir7068	0	0	0	0
Cherp	5931	5693	3725	4557
1700030K09Rik	5680	5263	3077	3587
Calr3	4109	3403	1820	2164
Gm46043	123	101	35	31
Eps15l1	420	416	354	399
Klf2	4395	4526	2451	2507
Gm10282	8	8	5	17
Gm40505	6	4	1	1
Gm39197	97	84	68	107
Gm51537	160	116	86	72
Gm51536	150	153	140	152
Ap1m1	44093	40978	19220	21972
Fam32a	1248	1025	708	880
Cib3	4	10	4	5
Hsh2d	34	42	44	58
Rab8a	4553	4011	1650	1962
Tpm4	58	45	25	36
Gm39196	16	10	11	13
Olfr374	0	0	0	1
Olfr373	1	0	0	0
Gm51606	0	0	0	0
Olfr372	0	0	0	0
Gm25052	0	0	0	0
Gm18924	0	0	0	0
Gm45734	1	2	2	4
Gm51535	1	0	1	0
Cyp4f18	4	5	0	4
Zfp961	52	52	43	54
Zfp617	98	94	154	169
Ccnb2-ps	51	23	35	50
Zfp882	27	24	20	36
Zfp709	14	20	14	13
Vmn2r-ps91	0	1	0	1
Gm5373	911	866	632	833
Gm40504	1	1	2	3
Gm35572	15	12	5	12
Fcho1	34	38	25	22
Gm18860	0	1	1	0
B3gnt3	1	6	1	0
Insl3	34	20	8	1
Jak3	1805	1895	875	1009
Mir6769b	1	0	0	0
Gm39195	10	3	1	1
Unc13a	31	26	15	23
Colgalt1	344	313	130	166
Niban3	35	32	18	32
Pgls	7328	7340	3141	3330
Slc27a1	2632	2535	2102	2404
Nxnl1	110	100	142	144
Tmem221	12	6	6	10
Mvb12a	3681	3231	1166	1244
Bst2	36	26	4	7
Gm7850	0	0	0	0
Ccdc194	0	0	0	0
Gm46041	0	0	0	0
Plvap	4	5	1	0
Gtpbp3	53	56	20	19
Ano8	23	28	13	7
Dda1	3999	4107	1886	2130
Mrpl34	1217	1218	577	666
Abhd8	40784	42058	18649	19257
Ankle1	14	8	13	20
Gm39193	0	0	0	0
Babam1	5458	4891	2126	2354
Ushbp1	4	11	4	4
Nr2f6	132	136	52	44
Ocel1	5342	5392	2415	2264
Use1	9004	8388	3796	4255
Myo9b	2233	2368	1512	1820
Haus8	130	125	72	102
Aprt-ps	4	4	2	2
Gm29701	0	0	0	0
Gm38415	10	2	6	4
Gm7827	1357	1239	1643	1991
Gm3643	105	97	62	86
Vmn2r-ps90	93	83	142	177
Gm17576	71	65	78	102
Gm18209	12	10	12	16
1700026F02Rik	806	803	486	522
Gm10654	3	2	2	4
Mir1969	0	0	1	0
Map1s	3168	3286	1404	1464
Snora68	9	9	6	15
Mir7067	0	0	0	0
Rpl18a	19633	18395	6974	7690
Slc5a5	11	8	8	10
Ccdc124	2711	2473	1317	1378
Pgpep1	79	83	19	28
Gm34154	9	10	12	6
Gdf15	12	19	7	6
Lrrc25	157	185	57	89
Ssbp4	618	586	280	315
Isyna1	54514	54635	23732	28039
Ell	5816	5851	2480	3031
Gm51534	596	635	331	347
Fkbp8	22328	22426	8561	9428
Kxd1	2802	2790	1786	2070
4930522P08Rik	229	185	116	144
Uba52	7941	8211	5823	6313
Rex1bd	236	236	88	97
Crlf1	7393	6537	2910	3193
1700020G03Rik	111	121	90	86
Tmem59l	2272	2239	1375	1618
Klhl26	87	110	42	44
Crtc1	914	923	528	548
Comp	47960	48760	21139	24272
Gm51533	154	191	86	89
Upf1	5105	5122	3051	3417
Cers1	0	0	0	0
Gdf1	0	0	0	0
Cope	4707	5203	2288	2833
Ddx49	25132	23407	9789	11564
Homer3	992	847	451	440
Sugp2	65594	61660	38467	44467
Armc6	255	207	94	106
Slc25a42	98	83	34	27
Tmem161a	157	166	59	82
Mef2b	0	0	1	1
Borcs8	2770	2640	1521	1588
Gm45929	0	0	0	0
Nr2c2ap	185	171	56	79
Rfxank	1415	1297	615	714
Gm25906	0	0	0	0
Mir7066	0	4	0	0
Ncan	4926	4748	2561	2815
Hapln4	24	23	23	35
Tm6sf2	420	415	239	265
Sugp1	12152	10844	6496	7797
Mau2	12537	12423	6888	8173
Gm7730	1	12	11	11
Gatad2a	30076	29512	16514	18794
Tssk6	33319	33844	12922	12912
Ndufa13	3867	3320	1296	1278
Yjefn3	75	72	19	22
Gm33746	57	69	28	37
Cilp2	66	100	42	41
Pbx4	12553	13217	7701	8126
Lpar2	1835	1679	931	1029
Gm33695	3	1	1	0
Gmip	235	235	117	125
Atp13a1	3113	3053	1609	1749
Zfp866	230	181	266	332
Gm19893	0	0	1	1
Zfp963	10	8	13	15
Gm51532	8	1	4	8
Zfp869	135	123	107	109
Zfp964	12	12	9	18
Zfp868	418	341	302	371
Gm3365	100	90	58	87
Rps7-ps1	3	3	5	1
Gm7697	1529	1317	2779	3393
Gm9495	840	743	1034	1351
Gm10033	1	2	5	4
Gm7688	3	0	0	0
D130040H23Rik	2	5	6	7
Gm7684	0	0	0	0
Gm33178	0	0	0	0
Zfp930	8	1	16	13
Gm39188	53	49	30	30
Gm39187	0	0	0	0
Lzts1	133	130	71	63
Atp6v1b2	5841	5300	2523	3144
Slc18a1	46	27	15	29
Gm33052	0	0	0	0
Gm33103	1	1	1	0
Gm32997	0	0	0	0
Lpl	31	23	25	49
Gm51577	4	6	9	4
Gm15549	6	1	6	9
Ints10	30466	29292	19967	24816
1700125H03Rik	1152	965	359	388
Csgalnact1	127	104	148	171
Gm19170	0	0	0	0
Sh2d4a	43	35	15	29
LOC115485644	0	0	0	0
Gm15991	47	34	29	33
Gm32888	703	494	1493	1690
Psd3	4791	4204	6553	8016
Gm44391	0	0	0	0
Gm36247	0	0	0	0
Nat3	5	1	1	1
Gm9755	44	34	17	15
Nat2	7	9	2	7
Nat1	1	0	0	0
Gm24677	0	0	0	0
Gm24274	0	0	0	0
Gm32623	0	0	0	0
Gm7639	0	0	0	0
Gm25275	0	0	0	0
Gm39185	0	0	4	2
Naf1	3170	2620	1551	1632
LOC665443	1	3	2	1
Npy1r	3	0	0	3
Npy5r	0	0	0	1
Tktl2	6679	6117	3797	4559
Tma16	53	26	32	39
Gm24205	0	0	0	1
Gm26123	0	0	0	0
Gm15355	0	0	0	0
Gm23515	0	0	0	0
Marchf1	15	24	8	15
Vaultrc-ps1	0	0	0	0
Gm7624	0	0	0	0
Gm45249	0	0	1	0
Gm7619	0	0	0	0
Gm39184	10	14	15	11
Gm48810	0	0	0	0
Gm45445	0	0	0	0
Smim31	0	0	0	0
Gm39183	1	1	2	0
Apela	0	0	1	0
Trim61	1	1	0	2
Trim60	0	0	0	0
Trim75	0	0	0	0
Tmem192	215	178	117	132
Gm32507	0	0	0	0
Gm45405	0	0	0	1
Gm40501	0	0	0	0
Gm46040	109	124	67	59
Klhl2	73	63	34	51
Msmo1	126	97	54	64
Cpe	663	614	177	243
Mir710	0	0	0	0
Gm35521	1	0	0	1
Gm35472	0	2	1	0
Tll1	28	19	20	30
Gm35713	0	0	0	0
Sgo2b	0	1	63	56
Gm24580	0	0	0	0
Gm5350	0	0	0	0
Gm35424	3	1	5	8
Gm35368	433	407	107	86
Gm18645	0	0	0	0
Gm24236	0	0	0	0
Spock3	20	8	11	15
Gm22324	0	0	0	0
Gm7561	2	4	1	0
Gm2975	1	0	0	0
Hspd1-ps2	0	0	0	0
Gm2961	0	0	0	0
Anxa10	0	0	0	0
Ddx60	133	118	147	193
4930512H18Rik	80	55	33	50
Gm18066	3	0	0	3
Gm51576	4	3	4	1
Gm51575	3	1	7	6
Gm35254	0	0	2	2
Palld	1699	1630	1689	1986
Cbr4	539	458	309	340
5730405A17Rik	0	2	0	1
Gm7432	3	2	0	0
Gm10015	0	1	0	0
Gm40499	3	9	5	10
1700001D01Rik	17	18	9	23
Sh3rf1	176	153	87	67
Nek1	2455	2088	3015	3700
Gm18394	4	1	2	0
Clcn3	6798	5637	5003	5276
Hpf1	1030	793	673	887
Gm23329	0	0	0	0
Stambp-ps2	0	0	0	0
Gm45651	0	0	0	1
Gm45650	0	0	0	0
Mfap3l	8011	7017	5853	7425
Gm34730	0	0	0	0
Aadat	12	4	5	12
Gm19230	0	0	3	5
Gm34623	76	68	64	69
Gm26164	0	0	0	0
4930470O06Rik	123	93	65	53
Gm34420	0	0	0	0
Gm34370	69	64	64	89
Gm5740	0	0	0	0
Gm7499	0	0	0	0
BC030500	0	0	0	0
LOC115487053	0	0	0	0
Gm15881	1563	1453	1301	1556
Gm2921	1	1	4	0
Galntl6	1718	1488	1975	2640
AW046200	85	87	136	157
Gm10284	3	2	2	2
Gm25379	1	0	0	0
Gm51574	2	2	2	2
Galnt7	1572	1405	1318	1663
Gm6012	478	370	288	375
Hmgb2	188	156	177	216
2500002B13Rik	10	8	4	10
Sap30	118	98	58	52
Scrg1	0	0	0	0
Gm18136	0	0	0	0
Gm34099	8	5	3	3
Hdnr	4	8	4	5
Gm34030	0	0	0	0
Hand2	0	3	2	1
Hand2os1	3	1	0	2
Gm17994	0	0	0	0
Gm7328	0	1	0	0
Gm33501	107	84	49	74
Gm6503	0	3	0	2
Gm2767	0	3	7	6
Fbxo8	726	623	338	358
Cep44	2473	2261	1896	2161
Gm24375	0	2	1	4
4930518J21Rik	522	436	289	430
Gm7419	1	1	23	14
Hpgd	72	54	35	36
Gm7351	0	0	2	2
Glra3	5	5	6	3
Adam29	2298	1796	2179	2658
Gm18320	0	0	0	0
Gm36453	0	0	0	0
Gm51600	0	0	0	0
Gm20586	0	0	0	0
Gm51599	0	0	0	0
Gm51598	0	0	0	0
Gm51597	0	0	0	0
Gm51596	0	0	0	0
Gm51595	0	0	0	0
Gm36387	0	0	0	0
Gm51594	0	0	0	0
Gm51593	0	0	0	0
Gm51592	0	0	0	0
Gm51573	0	0	0	0
Gm51591	0	0	0	0
Gm51590	0	0	0	0
Gm46063	0	0	0	0
Gm51572	0	0	0	0
Gm51571	0	0	0	0
Gm8734	2	0	0	0
LOC115486929	0	1	0	0
Gpm6a	134	115	81	110
Wdr17	446	368	421	496
Spata4	28377	24918	20381	26043
Gm46039	48	48	42	66
Asb5	141	112	63	103
Spcs3	640	515	410	482
Vegfc	10	7	3	7
Gm33153	0	0	1	0
Gm19921	0	0	0	0
LOC115487036	0	0	0	0
Neil3	474	389	260	291
Gm39181	2	5	1	3
Aga	89	104	62	72
Gm22841	0	0	1	1
Gm39180	12	15	68	89
Gm39179	36	49	80	82
Gm23666	0	0	0	0
Gm9685	0	0	0	0
1190028D05Rik	0	0	0	0
Gm25813	57	29	5	8
Gm6463	0	0	0	0
Gm9892	35	19	20	31
Gm24929	0	0	0	0
Gm6458	1	1	0	0
Gm17993	0	0	0	0
Gm17911	0	0	0	0
Gm8679	0	0	2	0
Gm23986	0	0	0	0
Gm2516	1	1	1	5
1700019L22Rik	88	77	82	84
4930555F03Rik	939	718	896	1105
Gm25830	0	0	0	0
Gm19744	33	21	26	24
Gm39178	0	0	0	0
Gm51531	1	5	12	11
Tenm3	2598	2459	2078	2401
Gm32923	119	112	100	142
Gm51559	8	11	2	4
Gm32194	540	485	218	231
Gm39174	0	0	0	0
Dctd	29	18	9	9
Gm32052	316	241	220	223
Gm31984	60	63	77	72
Gm39173	19	18	48	39
Wwc2	15870	14799	9985	11223
Cldn22	3	11	15	15
Cldn24	65	75	16	27
1700061N14Rik	2963	2583	1364	1800
Gm31786	1921	1591	1223	1471
Cdkn2aip	15891	15072	12030	13478
Gm31638	6	2	13	11
Gm31692	6	2	9	9
AA386476	269	215	381	390
Ing2	437	394	414	526
Gm8623	16	25	9	9
Gm45575	2	1	2	4
Gm39172	37	46	22	20
Rwdd4a	8231	7266	4469	4976
Trappc11	1666	1631	1342	1542
Gm22857	0	0	0	0
Gm39171	96	78	29	49
Gm51570	49	53	26	30
Stox2	2594	2361	1494	1785
Gm51569	20	21	52	60
Gm31231	231	241	241	281
Enpp6	424	451	261	298
Gm39170	0	0	0	0
Gm31172	53	62	30	41
Irf2	1415	1234	885	1181
Gm16675	3	0	0	1
Gm31111	0	0	0	0
Casp3	18	15	4	9
Gm45607	18	23	18	34
Primpol	63	44	26	37
Cenpu	4099	3557	2812	3484
Acsl1	42193	38759	25839	30920
Gm31050	999	983	952	1097
Gm30931	0	0	0	0
Gm39168	5	5	2	5
Helt	13	20	5	5
Gm30880	0	0	0	0
Gm8575	0	0	0	0
Gm24669	0	0	0	0
Gm10313	0	0	1	0
Actg-ps1	4	8	3	4
Slc25a4	192	165	74	91
Cfap97	16415	14333	19829	23656
Snx25	3444	3104	2609	3136
Lrp2bp	6746	5754	5601	6836
Ankrd37	129	102	50	31
Ufsp2	433	386	354	441
1700029J07Rik	7581	6379	5244	6642
Ccdc110	1511	1201	2307	3165
Pdlim3	163	153	30	36
Gm25309	0	0	0	0
Gm51530	0	0	0	0
Sorbs2os	6	3	1	7
Gm30635	14	15	7	12
Gm51529	14	5	4	10
LOC115485643	0	0	0	0
Gm16351	156	120	91	139
Sorbs2	314	276	256	293
Tlr3	2	5	0	4
Fam149a	6	7	2	1
Cyp4v3	7	7	4	8
Klkb1	624	529	684	794
F11	126	116	233	335
Gm6329	0	0	0	0
Gm30504	45	37	22	30
