Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
Anks1	3705	3487	2892	3471
Taf11	6284	5575	3489	4022
Uhrf1bp1	16164	14851	7881	8888
Snrpc	12069	10260	3479	4030
Rps2-ps9	1	5	1	1
Ilrun	3130	3057	1437	1599
Spdef	64	73	26	40
Pacsin1	938	876	575	710
Gm15420	15	17	6	4
Rps10	5366	5840	2779	2864
Nudt3	14626	12832	5465	6115
AI413582	1306	1252	428	469
Hmga1	1215	1256	711	765
Gm9703	0	1	0	1
Gm16005	0	0	0	0
Grm4	31	28	42	36
Gm35007	424	321	149	139
Mir7218	6	6	8	8
Mir7217	6	14	13	11
Mir7216	100	70	80	64
Gm10505	419	361	347	437
Mir7214	2	2	7	4
Gm34619	0	0	0	0
Ankfn1	141	166	95	104
Nog	1	0	1	1
Gm38759	8	8	1	1
Gm22534	0	1	0	0
Gm525	1005	1006	471	555
Dgkeos	5561	5373	2436	2494
Dgke	406	293	212	249
Trim25	151	159	66	74
Gm11496	0	0	0	0
Coil	28515	25526	14412	16637
2210409E12Rik	38	51	51	54
Elobl	14	22	14	14
Scpep1	609	600	405	486
Scpep1os	73	101	78	75
Gm23507	0	0	0	0
4930556N13Rik	79	88	165	218
Akap1	83063	79307	39722	46126
LOC100862433	0	0	0	0
C030037D09Rik	8937	8136	3759	4271
0610039H22Rik	3	0	2	3
Msi2	7866	7277	4757	5100
Trnav-cac	0	0	0	0
Ccdc182	6235	5056	1754	1928
LOC105242541	0	0	0	0
Gm38534	10	7	5	3
LOC105247676	0	0	0	0
Mrps23	1317	1187	593	617
Cuedc1	116	95	75	65
2210416O15Rik	22	9	3	5
Vezf1	149	150	138	170
LOC115489361	0	0	0	0
Srsf1	2486	2365	2090	2277
Gm38610	41	20	11	21
LOC105247666	0	0	0	0
Dynll2	12415	8476	4286	4675
Gm11507	0	0	0	0
LOC108168700	0	0	0	0
Olfr464	0	0	0	1
Olfr463	0	1	0	0
Olfr462	0	0	0	0
Epx	4	2	3	1
Mks1	754	687	556	608
LOC108168701	0	0	0	0
Lpo	5	0	3	6
Mpo	628	557	257	295
Tspoap1	855	823	984	1065
Mir142	0	1	0	1
Mir142b	3	6	5	2
Supt4a	1374	1100	601	710
1110028F11Rik	7	2	14	16
Gm25968	0	0	0	0
Rnf43	347	410	270	331
Hsf5	32464	28563	20911	24020
Mtmr4	9157	8469	5186	5821
Septin4	9226	8258	7030	8396
Gm34000	509	474	297	332
Rnu3b2	0	0	0	0
Rnu3b4	1	3	3	2
Rnu3b3	19	29	11	24
Gm23137	1	0	1	1
Rnu3b1	0	0	0	0
Gm22068	31	37	19	14
Rnu1a1	28	23	10	21
Tex14	3836	3485	4076	5149
Rad51c	1889	1722	1056	1341
Gm33937	293	228	187	180
Gm22883	3	7	31	46
Ppm1e	1297	1065	1117	1249
Trim37	60001	51443	45044	52740
Mir301	0	0	0	0
Ska2	23	23	15	20
Prr11	642	493	588	695
Smg8	1303	1136	620	774
Gdpd1	6728	6450	4722	5809
Gm22387	0	0	0	0
Gm51915	45	20	16	21
Ypel2	215	147	225	267
Gm46290	0	0	0	0
Gm38931	2	0	0	0
Gm15785	0	2	1	0
Bicd1	93	73	135	149
Gm15783	0	0	0	0
Gm15786	0	0	1	1
Gm15784	710	690	567	668
Gm38930	27	30	41	58
Resf1	110	71	164	214
Amn1	14816	11962	7362	8192
Etfbkmt	1667	1302	891	977
Gm23462	0	1	1	0
Gm15780	1	0	0	0
LOC115489348	0	0	1	2
Gm15781	0	0	0	0
Dennd5b	1805	1592	1652	2084
Gm36762	0	0	0	0
Caprin2	192	197	177	217
2610017A05Rik	2	4	5	4
Ipo8	238	226	121	153
Gm15778	0	0	0	0
4930528G23Rik	14	7	14	8
Gm6313	0	0	0	1
Gm36613	0	0	0	0
Gm36478	0	0	0	0
Rps4l	17212	17472	7454	8543
Gm52483	14	13	31	41
Tmtc1	834	774	468	485
4732416N19Rik	460	458	264	336
Ergic2	9279	7719	5748	7023
Far2os1	0	0	1	0
Far2	114	76	45	47
Gm15762	56	59	71	92
1700049E15Rik	25	14	9	10
Gm36244	3	2	4	5
Ccdc91	16057	13373	9594	11034
Gm6288	177	132	153	163
LOC105247366	0	0	0	0
Gm15766	0	0	0	0
Pthlh	2	2	0	0
Gm15767	148	114	59	64
E330012B07Rik	1	2	3	2
Gm7571	0	2	0	0
Klhl42	120	97	39	39
Mansc4	4	0	0	1
Mrps35	119	108	51	60
Rep15	6	2	6	5
Gm35876	0	0	1	3
1700034J05Rik	17196	15649	14473	18105
Ppfibp1	1540	1434	1592	1860
Smco2	7873	6765	5163	6272
Arntl2	132	124	97	105
Gm6266	11	5	9	23
Stk38l	980	831	662	787
4930479D17Rik	1283	1154	550	624
Gm6654	7	6	8	7
Med21	2216	1955	1154	1374
Tm7sf3	1245	1165	519	573
Fgfr1op2	13624	12023	8063	9497
Ints13	10609	9556	7369	8449
Gm35596	5	1	0	1
Gm35707	59	35	26	22
Gm35768	115	90	89	102
Itpr2	347	374	257	315
Gm32914	0	0	1	0
Gm32838	1	1	0	0
Sspn	72	94	19	22
Gm32675	1	0	1	1
Rassf8	83	55	30	29
Gm15704	0	0	0	0
Tuba3b	229590	236082	105819	122669
Gm25373	1	0	0	0
Gm38475	23	15	42	64
Lmntd1	2489	2213	2194	2737
1700073E17Rik	4028	3654	4138	4717
Gm23498	0	0	1	1
LOC105247329	119	105	170	212
Gm15707	0	0	0	0
Gm15706	24	27	27	25
Kras	351	291	280	303
Etfrf1	105	102	128	141
Gm15543	7	8	1	3
Casc1	7269	6731	5316	6634
Lrmp	25	14	8	11
Gm38925	0	0	0	0
Gm26666	1	0	0	0
Bcat1	56	40	25	31
Gm46721	0	0	0	0
Gm32124	0	0	0	0
Gm20124	9	2	9	16
Gm22792	0	0	0	0
Gm32069	1	0	2	3
Sox5os4	4	2	2	2
Sox5os3	1657	1605	803	1044
Gm38531	0	0	0	0
Gm52485	5	4	13	23
Gm52486	18	12	19	29
Gm52484	16	16	26	31
Gm32010	0	0	0	0
Sox5	10496	10139	6408	8071
Gm46720	0	0	0	0
Gm31521	0	0	2	0
1700060C16Rik	4	9	5	6
Gm27047	0	0	0	0
LOC115489351	0	0	0	0
LOC108168698	0	0	0	0
LOC108168699	0	0	0	0
LOC100862425	0	0	0	0
LOC100862415	0	0	0	0
LOC100862414	0	0	0	0
LOC101056304	0	0	0	0
LOC101056303	0	0	0	0
LOC101056302	0	0	0	0
LOC100862413	0	0	0	0
LOC108168697	0	0	0	0
Klra13-ps	0	0	0	0
LOC115489357	0	0	0	0
LOC115489360	0	0	0	0
Klra3	0	0	0	0
LOC100862408	0	0	0	0
LOC115486444	0	0	0	0
Klra9	15	8	9	18
Gm23552	0	0	0	0
Klra16	0	0	0	0
Klra1	0	1	0	1
LOC108167384	0	0	0	0
Gm24072	0	0	0	0
LOC108167383	0	0	0	0
Klra23	0	0	0	0
Klra7	0	0	0	0
Gm52487	0	0	2	1
LOC115489352	0	0	0	0
LOC108167386	0	0	0	0
Gm24712	0	0	0	0
Klra8	13	8	9	10
Gm24676	0	0	0	0
Klra4	5	1	1	2
Klra6	3	0	0	1
Gm15854	0	1	0	2
Klra5	0	0	0	0
Gm23977	0	0	0	0
Klra17	0	0	0	0
LOC115489356	0	0	0	0
Klrh1	0	0	0	0
Klri2	0	0	0	0
Klri1	0	0	0	0
Mir680-1	0	0	0	0
Gm7309	0	0	0	1
Klrc1	0	0	0	0
Klrc3	0	0	0	0
LOC100048823	0	0	0	0
Btbd35f7	3	0	6	8
LOC101056296	0	0	0	0
LOC108168717	0	0	0	0
LOC102641053	0	0	0	0
LOC100862450	0	0	0	0
LOC102642215	0	0	0	0
LOC102641066	0	0	0	0
LOC100862449	0	0	0	0
Tcf19	18	23	19	16
Pou5f1	122	128	88	85
LOC108167390	0	0	0	0
Skiv2l-ps1	33	36	21	17
LOC100862456	0	0	0	0
LOC100862455	0	0	0	0
LOC100862454	0	0	0	0
LOC115489383	0	0	0	0
Olfr412	0	0	0	0
Olfr411	0	0	0	0
Olfr410	0	0	0	1
Gm12332	0	0	0	0
n-R5s71	0	0	0	0
Olfr409-ps1	0	0	1	0
